"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.enableWhen.extension","Questionnaire.item.enableWhen.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.enableWhen.modifierExtension","Questionnaire.item.enableWhen.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.enableWhen.question","Questionnaire.item.enableWhen.question","","","",1,1,"","","","string {[]} {[]}
","Question that determines whether item is enabled","The linkId for the question whose answer (or lack of answer) governs whether this item is enabled.","If multiple question occurrences are present for the same question (same linkId), then this refers to the nearest question occurrence reachable by tracing first the ""ancestor"" axis and then the ""preceding"" axis and then the ""following"" axis.","","","","","","","","",,,,,"",,,,"Questionnaire.item.enableWhen.question",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.enableWhen.operator","Questionnaire.item.enableWhen.operator","","","",1,1,"","","","code {[]} {[]}
","exists | = | != | > | < | >= | <=","Specifies the criteria by which the question is enabled.","","","","","","","","","",,"required","The criteria by which a question is enabled.","http://hl7.org/fhir/ValueSet/questionnaire-enable-operator|4.0.1","",,,,"Questionnaire.item.enableWhen.operator",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.enableWhen.answer[x]","Questionnaire.item.enableWhen.answer[x]","","","",1,1,"","","","boolean {[]} {[]}
decimal {[]} {[]}integer {[]} {[]}date {[]} {[]}dateTime {[]} {[]}time {[]} {[]}string {[]} {[]}Coding {[]} {[]}Quantity {[]} {[]}Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|4.0.1]]}","Value for question comparison based on operator","A value that the referenced question is tested using the specified operator in order for the item to be enabled.","","","","","","","","","",,"example","Allowed values to answer questions.","http://hl7.org/fhir/ValueSet/questionnaire-answers|4.0.1","",,,,"Questionnaire.item.enableWhen.answer[x]",1,1,"que-7
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.enableBehavior","Questionnaire.item.enableBehavior","","","",0,1,"","","","code {[]} {[]}
","all | any","Controls how multiple enableWhen values are interpreted -  whether all or any must be true.","This element must be specified if more than one enableWhen value is provided.","","","","","","","","",,"required","Controls how multiple enableWhen values are interpreted -  whether all or any must be true.","http://hl7.org/fhir/ValueSet/questionnaire-enable-behavior|4.0.1","",,,,"Questionnaire.item.enableBehavior",0,1,"que-12
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.required","Questionnaire.item.required","","","",0,1,"","","","boolean {[]} {[]}
","Whether the item must be included in data results","An indication, if true, that the item must be present in a ""completed"" QuestionnaireResponse.  If false, the item may be skipped when answering the questionnaire.","Questionnaire.item.required only has meaning for elements that are conditionally enabled with enableWhen if the condition evaluates to true.  If an item that contains other items is marked as required, that does not automatically make the contained elements required (though required groups must contain at least one child element). The value may come from the ElementDefinition referred to by .definition.","","","Items are generally assumed not to be required unless explicitly specified. Systems SHOULD always populate this value","","","","","",,,,,"",,,,"Questionnaire.item.required",0,1,"que-6
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.repeats","Questionnaire.item.repeats","","","",0,1,"","","","boolean {[]} {[]}
","Whether the item may repeat","An indication, if true, that the item may occur multiple times in the response, collecting multiple answers for questions or multiple sets of answers for groups.","If a question is marked as repeats=true, then multiple answers can be provided for the question in the corresponding QuestionnaireResponse.  When rendering the questionnaire, it is up to the rendering software whether to render the question text for each answer repetition (i.e. ""repeat the question"") or to simply allow entry/selection of multiple answers for the question (repeat the answers).  Which is most appropriate visually may depend on the type of answer as well as whether there are nested items.

The resulting QuestionnaireResponse will be populated the same way regardless of rendering - one 'question' item with multiple answer values.

 The value may come from the ElementDefinition referred to by .definition.","Items may be used to create set of (related) questions that can be repeated to give multiple answers to such a set.","","Items are generally assumed not to repeat unless explicitly specified. Systems SHOULD always populate this value","","","","","",,,,,"",,,,"Questionnaire.item.repeats",0,1,"que-6
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.readOnly","Questionnaire.item.readOnly","","","",0,1,"","","","boolean {[]} {[]}
","Don't allow human editing","An indication, when true, that the value cannot be changed by a human respondent to the Questionnaire.","The value of readOnly elements can be established by asserting  extensions for defaultValues, linkages that support pre-population and/or extensions that support calculation based on other answers.","Allows certain information to be phrased (and rendered) as a question and an answer, while keeping users from changing it.  May also be useful for preventing changes to pre-populated portions of a questionnaire, for calculated values, etc.","","","","","","","",,,,,"",,,,"Questionnaire.item.readOnly",0,1,"que-9
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.maxLength","Questionnaire.item.maxLength","","","",0,1,"","","","integer {[]} {[]}
","No more than this many characters","The maximum number of characters that are permitted in the answer to be considered a ""valid"" QuestionnaireResponse.","For base64binary, reflects the number of characters representing the encoded data, not the number of bytes of the binary data. The value may come from the ElementDefinition referred to by .definition.","","","","","","","","",,,,,"",,,,"Questionnaire.item.maxLength",0,1,"que-10
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.answerValueSet","Questionnaire.item.answerValueSet","","","",0,1,"","","","canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/ValueSet|4.0.1]]}
","Valueset containing permitted answers","A reference to a value set containing a list of codes representing permitted answers for a ""choice"" or ""open-choice"" question.","LOINC defines many useful value sets for questionnaire responses. See [LOINC Answer Lists](http://hl7.org/fhir/R4/loinc.html#alist). The value may come from the ElementDefinition referred to by .definition.","","","","","","","","",,,,,"",,,,"Questionnaire.item.answerValueSet",0,1,"que-4
que-5","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.answerOption","Questionnaire.item.answerOption","","","",0,*,"","","","BackboneElement {[]} {[]}
","Permitted answer","One of the permitted answers for a ""choice"" or ""open-choice"" question.","This element can be used when the value set machinery of answerValueSet is deemed too cumbersome or when there's a need to capture possible answers that are not codes.","","","","","","","","",,,,,"",,,,"Questionnaire.item.answerOption",0,*,"que-4
que-5","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.answerOption.id","Questionnaire.item.answerOption.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.answerOption.extension","Questionnaire.item.answerOption.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.answerOption.modifierExtension","Questionnaire.item.answerOption.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.answerOption.value[x]","Questionnaire.item.answerOption.value[x]","","","",1,1,"","","","integer {[]} {[]}
date {[]} {[]}time {[]} {[]}string {[]} {[]}Coding {[]} {[]}Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|4.0.1]]}","Answer value","A potential answer that's allowed as the answer to this question.","The data type of the value must agree with the item.type.","","","","","","","","",,"example","Allowed values to answer questions.","http://hl7.org/fhir/ValueSet/questionnaire-answers|4.0.1","",,,,"Questionnaire.item.answerOption.value[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.answerOption.initialSelected","Questionnaire.item.answerOption.initialSelected","","","",0,1,"","","","boolean {[]} {[]}
","Whether option is selected by default","Indicates whether the answer value is selected when the list of possible answers is initially shown.","Use this instead of initial[v] if answerValueSet is present.","","","Only selected items explicitly marked to be selected","","","","","",,,,,"",,,,"Questionnaire.item.answerOption.initialSelected",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.initial","Questionnaire.item.initial","","","",0,*,"","","","BackboneElement {[]} {[]}
","Initial value(s) when item is first rendered","One or more values that should be pre-populated in the answer when initially rendering the questionnaire for user input.","The user is allowed to change the value and override the default (unless marked as read-only). If the user doesn't change the value, then this initial value will be persisted when the QuestionnaireResponse is initially created.  Note that initial values can influence results.  The data type of initial[x] must agree with the item.type, and only repeating items can have more then one initial value.","In some workflows, having defaults saves time.","","","","","","","",,,,,"",,,,"Questionnaire.item.initial",0,*,"que-8
que-13","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.initial.id","Questionnaire.item.initial.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.initial.extension","Questionnaire.item.initial.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.initial.modifierExtension","Questionnaire.item.initial.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.initial.value[x]","Questionnaire.item.initial.value[x]","","","",1,1,"","","","boolean {[]} {[]}
decimal {[]} {[]}integer {[]} {[]}date {[]} {[]}dateTime {[]} {[]}time {[]} {[]}string {[]} {[]}uri {[]} {[]}Attachment {[]} {[]}Coding {[]} {[]}Quantity {[]} {[]}Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource|4.0.1]]}","Actual value for initializing the question","The actual value to for an initial answer.","The type of the initial value must be consistent with the type of the item.","","","","","","","","",,"example","Allowed values to answer questions.","http://hl7.org/fhir/ValueSet/questionnaire-answers|4.0.1","",,,,"Questionnaire.item.initial.value[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-daratumumab","Questionnaire.item:qualityMonitoring.item","Questionnaire.item.item","","","",0,*,"","","","null {[]} {[]}
","Nested questionnaire items","Text, questions and other groups to be nested beneath a question or group.","There is no specified limit to the depth of nesting.  However, Questionnaire authors are encouraged to consider the impact on the user and user interface of overly deep nesting.","Reports can consist of complex nested groups.","","","","","","","",,,,,"",,,,"Questionnaire.item.item",0,*,"que-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-fulvestrant","Questionnaire","Questionnaire","","Form
CRFSurvey","",0,*,"","","","null {[]} {[]}
","A structured set of questions","A structured set of questions intended to guide the collection of answers from end-users. Questionnaires provide detailed control over order, presentation, phraseology and grouping to allow coherent, consistent data collection.","","","","","","","","","",,,,,"",,,,"Questionnaire",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}que-0:Name should be usable as an identifier for the module by machine processing applications such as code generation {name.matches('[A-Z]([A-Za-z0-9_]){0,254}')}que-2:The link ids for groups and questions must be unique within the questionnaire {descendants().linkId.isDistinct()}"
"homehosp-onco-fulvestrant","Questionnaire.id","Questionnaire.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"homehosp-onco-fulvestrant","Questionnaire.meta","Questionnaire.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-fulvestrant","Questionnaire.implicitRules","Questionnaire.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of it's narrative along with other profiles, value sets, etc.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-fulvestrant","Questionnaire.language","Questionnaire.language","","","",0,1,"","","","code {[]} {[]}
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"preferred","A human language.","http://hl7.org/fhir/ValueSet/languages|4.0.1","",,,,"Resource.language",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-fulvestrant","Questionnaire.text","Questionnaire.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded information is added later.","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-fulvestrant","Questionnaire.contained","Questionnaire.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags In their meta elements, but SHALL NOT have security labels.","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"",""
"homehosp-onco-fulvestrant","Questionnaire.extension","Questionnaire.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"homehosp-onco-fulvestrant","Questionnaire.modifierExtension","Questionnaire.modifierExtension","","extensions
user content","",0,*,"","Y","","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"DomainResource.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"homehosp-onco-fulvestrant","Questionnaire.url","Questionnaire.url","","","",1,1,"Y","","Y","uri {[]} {[]}
","Canonical identifier for this questionnaire, represented as a URI (globally unique)","An absolute URI that is used to identify this questionnaire when it is referenced in a specification, model, design or an instance; also called its canonical identifier. This SHOULD be globally unique and SHOULD be a literal address at which at which an authoritative instance of this questionnaire is (or will be) published. This URL can be the target of a canonical reference. It SHALL remain the same when the questionnaire is stored on different servers.","The name of the referenced questionnaire can be conveyed using the http://hl7.org/fhir/StructureDefinition/display extension.","…  This is the id that will be used to link a QuestionnaireResponse to the Questionnaire the response is for.","","","","","","","",,,,,"",,,,"Questionnaire.url",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-fulvestrant","Questionnaire.identifier","Questionnaire.identifier","","","",0,*,"","","Y","Identifier {[]} {[]}
","Additional identifier for the questionnaire","A formal identifier that is used to identify this questionnaire when it is represented in other formats, or referenced in a specification, model, design or an instance.","Typically, this is used for identifiers that can go in an HL7 V3 II (instance identifier) data type, and can then identify this questionnaire outside of FHIR, where it is not possible to use the logical URI.","Allows externally provided and/or usable business identifiers to be easily associated with the module.","","","","","","","",,,,,"",,,,"Questionnaire.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-fulvestrant","Questionnaire.version","Questionnaire.version","","","",0,1,"","","Y","string {[]} {[]}
","Business version of the questionnaire","The identifier that is used to identify this version of the questionnaire when it is referenced in a specification, model, design or instance. This is an arbitrary value managed by the questionnaire author and is not expected to be globally unique. For example, it might be a timestamp (e.g. yyyymmdd) if a managed version is not available. There is also no expectation that versions can be placed in a lexicographical sequence.","There may be different questionnaire instances that have the same identifier but different versions.  The version can be appended to the url in a reference to allow a reference to a particular business version of the questionnaire with the format [url]|[version].","","","","","","","","",,,,,"",,,,"Questionnaire.version",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-fulvestrant","Questionnaire.name","Questionnaire.name","","","",0,1,"","","Y","string {[]} {[]}
","Name for this questionnaire (computer friendly)","A natural language name identifying the questionnaire. This name should be usable as an identifier for the module by machine processing applications such as code generation.","The name is not expected to be globally unique. The name should be a simple alphanumeric type name to ensure that it is machine-processing friendly.","Support human navigation and code generation.","","","","","","","",,,,,"",,,,"Questionnaire.name",0,1,"inv-0
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-fulvestrant","Questionnaire.title","Questionnaire.title","","","",0,1,"","","Y","string {[]} {[]}
","Name for this questionnaire (human friendly)","A short, descriptive, user-friendly title for the questionnaire.","This name does not need to be machine-processing friendly and may contain punctuation, white-space, etc.","","","","","","","","",,,,,"",,,,"Questionnaire.title",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-fulvestrant","Questionnaire.derivedFrom","Questionnaire.derivedFrom","","","",0,*,"","","","canonical {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Questionnaire|4.0.1]]}
","Instantiates protocol or definition","The URL of a Questionnaire that this Questionnaire is based on.","","Allows a Questionnaire to be created based on another Questionnaire.","","","","","","","",,,,,"",,,,"Questionnaire.derivedFrom",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"homehosp-onco-fulvestrant","Questionnaire.status","Questionnaire.status","","","",1,1,"Y","Y","Y","code {[]} {[]}
","draft | active | retired | unknown","The status of this questionnaire. Enables tracking the life-cycle of the content.","Allows filtering of questionnaires that are appropriate for use versus not.","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""active""/>","","","",,"required","The lifecycle status of an artifact.","http://hl7.org/fhir/ValueSet/publication-status|4.0.1","",,,,"Questionnaire.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
